egoid,exercisealone_3,clubsports_3,exerciseothers_3,swimming_3,exercise_perceivedchange_3
44869,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
43516,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
89411,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
74285,Three times a week or more,Not at all,1-2 times a week,Not at all,increased a good deal
56527,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
16819,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
34591,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
89972,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more,has stayed about the same
92552,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,increased a bit
73158,1-2 times a month,1-2 times a month,Three times a week or more,Less than 1-2 times a month,has stayed about the same
45963,1-2 times a month,Not at all,1-2 times a week,Not at all,has stayed about the same
22138,Not at all,Not at all,Three times a week or more,Not at all,increased a bit
90136,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
46744,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
77941,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
44873,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a month,increased a bit
36540,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
83005,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,increased a good deal
31439,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,increased a bit
21899,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
29232,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
32249,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
45375,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
25536,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
32037,1-2 times a month,Not at all,Not at all,Not at all,has stayed about the same
46558,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,increased a bit
24016,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
52277,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
93699,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,increased a bit
36875,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
84011,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more,has stayed about the same
90646,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month,has stayed about the same
88008,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,increased a bit
88967,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
46701,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
83566,1-2 times a month,Not at all,1-2 times a week,Not at all,increased a bit
21090,1-2 times a month,Not at all,Not at all,Not at all,has stayed about the same
69419,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
87032,1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
94641,1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
82728,Three times a week or more,Not at all,1-2 times a month,Not at all,increased a bit
45076,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more,increased a good deal
58437,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,increased a good deal
94862,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,has stayed about the same
