egoid,SelfEsteem_1_7,SelfEsteem_2_7,SelfEsteem_3_7,SelfEsteem_4_7,SelfEsteem_5_7,SelfEsteem_6_7,SelfEsteem_7_7,SelfEsteem_8_7,SelfEsteem_9_7,SelfEsteem_10_7,SelfEsteem_7
44869,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,39.0
43516,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,32.333333333333336
89411,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
74285,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,39.333333333333336
56527,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.666666666666664
16819,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,33.333333333333336
34591,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.333333333333336
89972,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.0
92552,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,46.0
73158,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,49.0
45963,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,33.0
22138,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,43.0
90136,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,37.0
46744,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,34.333333333333336
77941,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0
44873,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,40.0
36540,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,42.333333333333336
83005,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,32.0
31439,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,44.0
21899,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,35.0
29232,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,32.333333333333336
32249,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,34.333333333333336
45375,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,32.333333333333336
25536,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,31.666666666666668
32037,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,34.333333333333336
46558,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,35.0
24016,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,34.666666666666664
52277,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,38.0
93699,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,37.0
36875,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,40.0
84011,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,40.0
90646,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,39.0
88008,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,29.0
88967,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.0
46701,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,29.666666666666668
83566,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,38.0
21090,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,47.0
69419,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
87032,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
94641,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,35.0
82728,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
45076,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,42.0
58437,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,29.33333333333333
94862,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,42.0
14606,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0
64075,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
39787,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.0
82376,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,45.0
44872,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,41.0
87783,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,44.66666666666666
47498,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,36.66666666666666
57325,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,29.0
53776,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,43.333333333333336
58633,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,34.0
27306,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0
80607,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,39.66666666666666
73143,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,39.66666666666666
35797,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,31.0
46365,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,39.0
31045,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,39.66666666666666
74492,Agree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,38.0
76791,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.0
21348,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,37.0
23287,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,41.0
14763,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,39.333333333333336
22066,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,40.333333333333336
28247,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,30.0
72873,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,42.333333333333336
67544,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,33.333333333333336
76810,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,41.333333333333336
51760,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,49.0
