egoid,degreeintent_6,majorevent_6
44869,"M.D., D.O., D.D.S., or D.V.M.",no
92552,"Master's Degree (M.A., M.S., MBA, etc.)",yes
73158,"Bachelor's degree (B.A., B.S., etc.)",no
45963,"M.D., D.O., D.D.S., or D.V.M.",yes
22138,"M.D., D.O., D.D.S., or D.V.M.",no
77941,"Bachelor's degree (B.A., B.S., etc.)",no
44873,"Bachelor's degree (B.A., B.S., etc.)",no
83005,"Bachelor's degree (B.A., B.S., etc.)",no
31439,"Bachelor's degree (B.A., B.S., etc.)",no
21899,"Bachelor's degree (B.A., B.S., etc.)",no
46558,"Bachelor's degree (B.A., B.S., etc.)",no
93699,"Master's Degree (M.A., M.S., MBA, etc.)",yes
36875,"Bachelor's degree (B.A., B.S., etc.)",no
84011,"M.D., D.O., D.D.S., or D.V.M.",no
90646,"Master's Degree (M.A., M.S., MBA, etc.)",yes
88008,"Master's Degree (M.A., M.S., MBA, etc.)",no
83566,Ph.D or Ed.D.,no
21090,"Bachelor's degree (B.A., B.S., etc.)",no
94641,Ph.D or Ed.D.,no
82728,"M.D., D.O., D.D.S., or D.V.M.",no
45076,"Bachelor's degree (B.A., B.S., etc.)",no
58437,"Master's Degree (M.A., M.S., MBA, etc.)",yes
14606,"M.D., D.O., D.D.S., or D.V.M.",no
64075,"Master's Degree (M.A., M.S., MBA, etc.)",no
44872,"M.D., D.O., D.D.S., or D.V.M.",no
57325,Other,yes
27306,"Master's Degree (M.A., M.S., MBA, etc.)",no
46365,"M.D., D.O., D.D.S., or D.V.M.",yes
74492,"Bachelor's degree (B.A., B.S., etc.)",no
51760,Ph.D or Ed.D.,no
72806,"Bachelor's degree (B.A., B.S., etc.)",no
98766,"Master's Degree (M.A., M.S., MBA, etc.)",no
60997,"Bachelor's degree (B.A., B.S., etc.)",no
36038,"M.D., D.O., D.D.S., or D.V.M.",yes
39146,Ph.D or Ed.D.,no
67918,"Master's Degree (M.A., M.S., MBA, etc.)",no
34467,"M.D., D.O., D.D.S., or D.V.M.",no
32668,J.D. (Law),no
24079,"Master's Degree (M.A., M.S., MBA, etc.)",no
59673,"Master's Degree (M.A., M.S., MBA, etc.)",no
74899,Ph.D or Ed.D.,yes
81807,Ph.D or Ed.D.,no
91176,Ph.D or Ed.D.,no
35011,J.D. (Law),yes
35416,"Bachelor's degree (B.A., B.S., etc.)",no
89710,"Bachelor's degree (B.A., B.S., etc.)",no
97596,"Master's Degree (M.A., M.S., MBA, etc.)",no
57359,"M.D., D.O., D.D.S., or D.V.M.",no
17308,"M.D., D.O., D.D.S., or D.V.M.",no
77872,"Master's Degree (M.A., M.S., MBA, etc.)",no
72348,"Master's Degree (M.A., M.S., MBA, etc.)",yes
89607,"Bachelor's degree (B.A., B.S., etc.)",no
28820,"Bachelor's degree (B.A., B.S., etc.)",no
35347,J.D. (Law),yes
45641,"Bachelor's degree (B.A., B.S., etc.)",no
73452,"M.D., D.O., D.D.S., or D.V.M.",no
28312,"Master's Degree (M.A., M.S., MBA, etc.)",no
13486,"Bachelor's degree (B.A., B.S., etc.)",no
56805,"Master's Degree (M.A., M.S., MBA, etc.)",no
26800,"Bachelor's degree (B.A., B.S., etc.)",no
60493,Ph.D or Ed.D.,no
84390,"Bachelor's degree (B.A., B.S., etc.)",yes
74845,"Master's Degree (M.A., M.S., MBA, etc.)",no
60396,"Master's Degree (M.A., M.S., MBA, etc.)",no
92412,Ph.D or Ed.D.,no
92038,"Master's Degree (M.A., M.S., MBA, etc.)",no
86440,J.D. (Law),no
95585,"Bachelor's degree (B.A., B.S., etc.)",no
14737,"Bachelor's degree (B.A., B.S., etc.)",no
28223,"M.D., D.O., D.D.S., or D.V.M.",no
20179,Ph.D or Ed.D.,no
28653,"Bachelor's degree (B.A., B.S., etc.)",no
95559,"Bachelor's degree (B.A., B.S., etc.)",no
30152,"M.D., D.O., D.D.S., or D.V.M.",no
60367,"Bachelor's degree (B.A., B.S., etc.)",no
59592,"M.D., D.O., D.D.S., or D.V.M.",no
22897,"Bachelor's degree (B.A., B.S., etc.)",no
89652,"M.D., D.O., D.D.S., or D.V.M.",yes
28724,"Master's Degree (M.A., M.S., MBA, etc.)",yes
69831,"Bachelor's degree (B.A., B.S., etc.)",no
50072,"M.D., D.O., D.D.S., or D.V.M.",no
44927,"M.D., D.O., D.D.S., or D.V.M.",no
71894,"Bachelor's degree (B.A., B.S., etc.)",no
66676,Ph.D or Ed.D.,no
95930,"Master's Degree (M.A., M.S., MBA, etc.)",no
70962,"M.D., D.O., D.D.S., or D.V.M.",no
30453,"Bachelor's degree (B.A., B.S., etc.)",no
18677,"Master's Degree (M.A., M.S., MBA, etc.)",no
58682,"Bachelor's degree (B.A., B.S., etc.)",no
79834,Ph.D or Ed.D.,yes
93471,Other,no
38052,Ph.D or Ed.D.,yes
47810,"Master's Degree (M.A., M.S., MBA, etc.)",yes
58196,"Master's Degree (M.A., M.S., MBA, etc.)",no
48224,"Master's Degree (M.A., M.S., MBA, etc.)",no
30137,"Bachelor's degree (B.A., B.S., etc.)",no
68318,"M.D., D.O., D.D.S., or D.V.M.",no
62246,"Master's Degree (M.A., M.S., MBA, etc.)",no
61028,"Bachelor's degree (B.A., B.S., etc.)",no
55424,"Master's Degree (M.A., M.S., MBA, etc.)",no
23576,"Bachelor's degree (B.A., B.S., etc.)",no
93485,"Bachelor's degree (B.A., B.S., etc.)",no
62617,"M.D., D.O., D.D.S., or D.V.M.",yes
42137,"Bachelor's degree (B.A., B.S., etc.)",no
37305,"Bachelor's degree (B.A., B.S., etc.)",no
69057,"Bachelor's degree (B.A., B.S., etc.)",no
83542,"Master's Degree (M.A., M.S., MBA, etc.)",no
18222,Ph.D or Ed.D.,no
39738,"Master's Degree (M.A., M.S., MBA, etc.)",no
26858,"M.D., D.O., D.D.S., or D.V.M.",no
38826,Ph.D or Ed.D.,no
93504,"Master's Degree (M.A., M.S., MBA, etc.)",yes
64232,"Master's Degree (M.A., M.S., MBA, etc.)",no
37404,"Master's Degree (M.A., M.S., MBA, etc.)",yes
82248,J.D. (Law),yes
69936,"Bachelor's degree (B.A., B.S., etc.)",no
37001,"Master's Degree (M.A., M.S., MBA, etc.)",yes
70492,"M.D., D.O., D.D.S., or D.V.M.",no
95543,"Bachelor's degree (B.A., B.S., etc.)",no
21380,"Bachelor's degree (B.A., B.S., etc.)",no
66642,"Bachelor's degree (B.A., B.S., etc.)",no
83612,"M.D., D.O., D.D.S., or D.V.M.",no
19122,"Bachelor's degree (B.A., B.S., etc.)",no
92566,"Master's Degree (M.A., M.S., MBA, etc.)",no
35987,"Bachelor's degree (B.A., B.S., etc.)",no
46373,"Bachelor's degree (B.A., B.S., etc.)",no
79341,"Bachelor's degree (B.A., B.S., etc.)",no
19591,"Bachelor's degree (B.A., B.S., etc.)",no
67608,"M.D., D.O., D.D.S., or D.V.M.",no
59207,"Bachelor's degree (B.A., B.S., etc.)",no
86083,"Bachelor's degree (B.A., B.S., etc.)",no
49014,"M.D., D.O., D.D.S., or D.V.M.",no
50766,"Bachelor's degree (B.A., B.S., etc.)",no
71089,"Bachelor's degree (B.A., B.S., etc.)",no
80980,"Master's Degree (M.A., M.S., MBA, etc.)",no
98462,"Master's Degree (M.A., M.S., MBA, etc.)",yes
64302,"Master's Degree (M.A., M.S., MBA, etc.)",no
22688,Ph.D or Ed.D.,no
38815,"Master's Degree (M.A., M.S., MBA, etc.)",no
34525,Ph.D or Ed.D.,no
68404,"Master's Degree (M.A., M.S., MBA, etc.)",yes
55569,"Bachelor's degree (B.A., B.S., etc.)",yes
72885,"Master's Degree (M.A., M.S., MBA, etc.)",no
36574,J.D. (Law),no
71193,"Bachelor's degree (B.A., B.S., etc.)",no
44070,"Bachelor's degree (B.A., B.S., etc.)",no
49010,"Bachelor's degree (B.A., B.S., etc.)",no
95374,J.D. (Law),no
71985,"Master's Degree (M.A., M.S., MBA, etc.)",no
43125,"Bachelor's degree (B.A., B.S., etc.)",no
98117,Ph.D or Ed.D.,yes
22989,"Bachelor's degree (B.A., B.S., etc.)",no
24883,"M.D., D.O., D.D.S., or D.V.M.",no
20650,J.D. (Law),no
66815,"M.D., D.O., D.D.S., or D.V.M.",no
54956,"Bachelor's degree (B.A., B.S., etc.)",no
14847,"Bachelor's degree (B.A., B.S., etc.)",yes
85453,"Master's Degree (M.A., M.S., MBA, etc.)",no
44344,J.D. (Law),no
