egoid,major1rc_4,major2rc_4,majorevent_4
44869,507.0,256.6666666666667,no
43516,277.3333333333333,256.6666666666667,
89411,220.66666666666663,114.33333333333331,
74285,244.66666666666663,115.0,
56527,245.33333333333331,118.33333333333331,
16819,369.3333333333333,251.0,
34591,109.0,128.0,no
89972,246.0,216.66666666666663,
92552,305.0,311.6666666666667,no
73158,306.0,133.0,no
45963,503.0,112.33333333333331,no
22138,507.0,110.0,no
90136,281.0,247.0,
46744,303.3333333333333,126.0,
77941,302.0,112.33333333333331,no
44873,339.0,440.3333333333333,no
36540,382.0,213.33333333333331,
14527,468.6666666666667,125.66666666666669,
83005,131.0,213.0,no
31439,501.0,349.0,no
21899,311.0,123.0,
29232,280.0,118.33333333333331,
32249,403.0,404.0,no
45375,370.3333333333333,216.33333333333331,
25536,339.3333333333333,123.66666666666669,
32037,405.6666666666667,123.0,
90476,336.0,115.0,
46558,301.0,256.6666666666667,no
24016,128.0,109.0,no
52277,272.0,118.33333333333331,
93699,401.0,312.3333333333333,no
36875,406.0,115.33333333333331,no
84011,503.0,179.0,no
90646,309.0,126.0,yes
88008,303.0,216.33333333333331,no
88967,346.3333333333333,111.33333333333331,
46701,370.3333333333333,109.33333333333331,
83566,134.0,214.0,no
21090,305.0,214.66666666666663,no
69419,172.66666666666666,115.0,
87032,200.0,124.0,yes
94641,305.0,125.0,no
82728,510.0,104.0,no
45076,403.0,131.0,no
58437,309.0,216.33333333333331,no
94862,403.0,506.0,no
14606,304.0,126.0,no
64075,404.0,124.0,no
39787,307.0,124.0,no
82376,255.33333333333331,215.33333333333331,
44872,507.0,135.0,no
87783,404.0,125.0,no
22199,273.3333333333333,118.33333333333331,
47498,246.66666666666663,305.3333333333333,
57325,503.0,123.0,no
53776,374.3333333333333,224.33333333333331,
58633,309.0,124.0,yes
27306,507.0,221.33333333333331,no
80607,302.0,115.33333333333331,
73143,246.33333333333331,215.33333333333331,
35797,312.0,123.0,
46365,511.0,214.0,no
30596,347.3333333333333,124.66666666666669,
31045,346.0,248.33333333333331,
74492,511.0,514.0,yes
76791,103.0,118.33333333333331,no
21348,369.3333333333333,314.6666666666667,
23287,338.3333333333333,124.0,no
14763,507.0,377.3333333333333,
22066,311.0,126.33333333333331,
64058,172.0,215.0,
28247,200.0,124.0,no
72873,368.6666666666667,242.0,
67544,255.0,126.33333333333331,
76810,242.33333333333331,116.66666666666669,
51760,306.0,374.3333333333333,no
72806,109.0,214.0,no
98766,403.0,112.0,no
23042,313.6666666666667,248.33333333333331,
60997,309.0,132.66666666666666,no
36038,110.0,129.0,no
39146,503.0,254.66666666666663,no
60963,304.0,124.0,no
67918,303.0,124.0,no
34467,507.0,218.0,no
42132,472.3333333333333,125.66666666666669,
41268,382.0,340.3333333333333,
90692,102.0,109.0,no
32668,130.0,109.0,no
24079,344.6666666666667,248.33333333333331,
59673,303.0,124.66666666666669,no
74899,509.0,340.6666666666667,no
48891,378.0,118.0,
81807,270.6666666666667,131.66666666666666,
77187,244.66666666666663,246.66666666666663,
91176,279.3333333333333,213.66666666666663,
22292,272.0,118.0,
35011,406.0,128.0,no
76785,441.3333333333333,125.33333333333331,
60903,469.6666666666667,123.66666666666669,
10115,305.0,122.66666666666669,
35416,309.0,213.33333333333331,yes
89710,132.0,128.0,no
97596,405.0,100.0,yes
39129,312.0,109.33333333333331,no
57359,503.0,115.33333333333331,no
17308,503.0,254.66666666666663,no
51851,403.0,250.0,no
35855,346.3333333333333,342.0,
67334,246.33333333333331,306.6666666666667,
60230,273.0,214.0,
77838,403.0,124.0,no
37371,384.0,240.33333333333331,
57292,183.33333333333331,118.33333333333331,
66406,184.33333333333331,116.33333333333331,
90447,346.0,206.33333333333331,
56798,128.0,216.33333333333331,no
28827,306.3333333333333,239.66666666666663,
23115,437.3333333333333,250.33333333333331,
77872,304.0,222.66666666666663,no
43114,302.0,126.0,no
72348,507.0,112.33333333333331,no
15707,470.3333333333333,133.66666666666666,
45776,371.6666666666667,248.33333333333331,
63122,278.6666666666667,241.33333333333331,
27169,474.0,246.33333333333331,
89607,305.0,339.3333333333333,no
59900,511.0,124.66666666666669,yes
28254,309.0,106.0,no
56480,309.0,215.0,yes
11128,334.0,133.66666666666666,
47886,257.6666666666667,242.66666666666663,
28820,309.0,342.0,no
35347,403.0,109.0,no
45641,302.0,507.0,no
25369,310.6666666666667,216.66666666666663,
64572,306.0,126.33333333333331,no
31538,503.0,124.0,no
73452,302.0,129.0,no
51475,129.0,134.0,no
28312,403.0,501.0,no
13486,405.0,403.0,no
56805,303.0,124.33333333333331,no
57697,311.6666666666667,123.66666666666669,
54837,280.6666666666667,124.66666666666669,
29718,131.0,118.33333333333331,no
26800,401.0,501.0,no
60493,507.0,132.66666666666666,no
52051,250.0,247.66666666666663,
30972,471.6666666666667,124.66666666666669,
47142,128.0,117.0,no
69217,309.0,124.0,no
69009,215.33333333333331,246.66666666666663,
84390,187.66666666666663,212.0,
74845,403.0,124.0,no
90905,273.6666666666667,339.3333333333333,
39659,255.0,314.3333333333333,
62072,311.6666666666667,207.0,
60396,403.0,128.0,no
61084,305.0,217.33333333333331,no
92412,117.0,506.0,no
92038,247.33333333333331,116.0,no
33388,401.0,405.0,no
31717,303.3333333333333,347.3333333333333,
18324,187.66666666666663,249.66666666666663,
86440,403.0,128.0,no
95585,313.6666666666667,378.6666666666667,
29792,508.0,501.0,no
14737,401.0,515.0,no
28223,502.0,216.33333333333331,no
85708,125.0,250.0,
55452,154.66666666666666,124.33333333333331,
20179,403.0,123.0,
78339,373.0,122.33333333333331,
23696,375.0,251.0,
28653,405.0,211.0,yes
84715,313.3333333333333,126.33333333333331,
95559,301.0,378.3333333333333,no
30152,507.0,124.0,no
68764,346.3333333333333,121.0,
60367,179.33333333333334,221.66666666666663,
36939,345.3333333333333,250.33333333333331,no
59592,503.0,113.0,no
22897,309.0,120.66666666666669,no
89652,510.0,137.0,no
28724,507.0,118.33333333333331,no
92895,305.6666666666667,247.33333333333331,
69831,305.0,222.66666666666663,no
59178,311.3333333333333,114.66666666666669,
50072,503.0,222.66666666666663,no
44927,502.0,131.0,yes
71894,305.0,124.0,no
76790,128.0,135.0,no
78428,406.0,117.66666666666669,
66676,502.0,213.66666666666663,no
95930,401.0,132.66666666666666,no
70962,503.0,311.3333333333333,no
12738,277.0,239.66666666666663,
29647,504.0,300.0,no
27111,310.6666666666667,249.66666666666663,
30453,401.0,135.0,no
58219,235.66666666666663,115.0,
28377,371.3333333333333,349.6666666666667,
80177,180.33333333333331,215.33333333333331,
18677,404.0,221.66666666666663,no
66047,103.0,118.33333333333331,yes
58682,406.0,216.0,no
81199,255.0,115.33333333333331,
85679,146.66666666666666,374.0,
79834,507.0,214.0,no
93471,341.0,254.66666666666663,
19538,404.3333333333333,216.66666666666663,
14595,372.3333333333333,119.33333333333331,
38052,508.0,124.0,no
33133,111.0,128.0,no
40021,507.0,124.0,no
27141,371.0,237.66666666666663,
93858,311.0,246.66666666666663,
47810,309.0,222.0,yes
58196,406.0,124.0,no
42773,313.3333333333333,349.3333333333333,
72152,368.6666666666667,121.0,
76663,511.0,123.0,no
48224,187.66666666666663,204.66666666666663,
30137,403.0,128.0,no
68318,502.0,124.0,no
62246,309.0,124.0,no
69496,469.6666666666667,122.66666666666669,
61028,302.0,132.66666666666666,no
55424,401.0,109.0,no
17581,407.6666666666667,243.33333333333331,
23576,403.0,109.0,no
57842,404.0,131.0,no
17522,511.0,254.66666666666663,no
55685,317.0,250.33333333333331,
74079,439.3333333333333,109.66666666666669,
97833,313.3333333333333,126.33333333333331,
11992,470.3333333333333,118.33333333333331,
93485,401.0,135.0,no
34402,342.3333333333333,217.0,
62617,507.0,132.66666666666666,no
42137,303.0,216.33333333333331,no
37305,406.0,111.0,yes
48013,102.0,214.66666666666663,no
44447,250.66666666666663,116.66666666666669,
14571,503.0,501.0,no
69057,309.0,348.3333333333333,yes
49125,303.0,128.66666666666666,
66629,511.0,116.33333333333331,
83542,110.0,112.33333333333331,no
18222,305.0,224.66666666666663,no
39738,128.0,124.0,yes
26858,510.0,222.66666666666663,no
70552,255.0,216.0,
38826,131.0,135.0,no
93504,106.0,406.0,no
64232,507.0,124.0,no
37404,401.0,222.0,no
25961,507.0,124.66666666666669,no
87330,131.0,118.33333333333331,no
92028,313.3333333333333,216.66666666666663,
82248,116.0,135.0,no
28824,508.6666666666667,246.66666666666663,
11482,109.0,100.0,no
69936,336.6666666666667,129.33333333333334,
91320,269.6666666666667,212.33333333333331,
37001,404.6666666666667,118.33333333333331,
70492,511.0,507.0,no
95543,305.0,221.66666666666663,no
21380,302.0,124.66666666666669,no
67106,303.0,124.0,no
25495,109.0,403.0,no
26581,403.3333333333333,126.66666666666669,
66642,309.0,133.33333333333334,
83612,503.0,124.0,no
63954,303.0,122.33333333333331,
20665,440.3333333333333,305.0,
19122,301.0,126.33333333333331,no
99978,309.0,137.0,no
92566,110.0,128.0,no
39414,200.0,124.0,no
35987,305.0,124.0,no
66655,246.33333333333331,216.0,
10547,273.3333333333333,127.0,
46373,128.0,124.0,no
79341,511.0,109.0,no
19591,403.0,118.33333333333331,no
83536,306.0,124.0,yes
66682,440.3333333333333,207.66666666666663,
88337,213.66666666666663,241.66666666666663,
67608,503.0,129.0,yes
19735,200.0,216.33333333333331,no
42513,505.0,375.6666666666667,
64595,438.0,117.66666666666669,
85134,312.3333333333333,211.66666666666663,
51952,214.66666666666663,115.33333333333331,
28837,406.3333333333333,115.33333333333331,
46266,303.0,124.0,yes
61289,406.6666666666667,213.33333333333331,
18743,271.3333333333333,118.0,
13647,345.3333333333333,126.66666666666669,
59207,302.0,344.6666666666667,no
48946,508.0,132.66666666666666,no
86083,130.0,109.0,no
96613,403.0,501.0,no
49014,270.0,123.0,
50766,305.0,217.0,no
71089,305.0,111.0,no
80980,309.0,124.0,no
29115,370.3333333333333,215.33333333333331,
98462,501.0,246.0,no
94455,348.0,130.33333333333334,
11148,212.66666666666663,314.6666666666667,
88384,271.3333333333333,312.0,
60904,114.33333333333331,123.66666666666669,
64302,303.0,248.0,no
51882,374.0,339.3333333333333,
54200,219.66666666666663,118.33333333333331,
22688,306.0,504.0,no
38815,305.0,222.66666666666663,no
34525,340.3333333333333,222.0,
68404,406.0,131.0,no
71836,369.6666666666667,379.3333333333333,
12748,471.6666666666667,279.0,
33445,508.3333333333333,239.66666666666663,
83078,187.66666666666663,373.6666666666667,
72160,308.6666666666667,124.0,
55569,219.66666666666663,123.0,
72885,305.0,248.0,no
47006,174.66666666666666,127.0,
36574,404.3333333333333,123.0,
71193,109.0,135.0,no
44070,278.6666666666667,124.0,
49010,338.6666666666667,249.33333333333331,
98760,302.0,510.0,yes
95374,131.0,128.0,no
71985,403.0,402.0,no
43125,109.0,403.0,no
98117,503.0,124.0,no
22989,109.0,131.0,no
24883,502.0,246.0,yes
65068,371.6666666666667,249.66666666666663,
20650,128.0,216.33333333333331,no
19460,339.0,175.66666666666666,
66815,507.0,222.66666666666663,no
89161,403.0,501.0,no
54956,131.0,126.33333333333331,no
14847,401.0,246.0,yes
85453,309.0,132.66666666666666,no
19827,309.0,253.66666666666663,no
31121,346.0,259.0,
38683,214.33333333333331,115.33333333333331,
82918,222.0,115.0,
43382,306.0,118.33333333333331,no
44344,128.0,216.33333333333331,yes
94215,302.0,116.0,no
80675,269.6666666666667,346.6666666666667,
57144,511.0,124.0,no
94662,148.66666666666666,259.0,
98700,235.66666666666663,114.0,
44675,369.6666666666667,249.66666666666663,
33341,369.3333333333333,125.0,
37396,269.3333333333333,246.0,
65072,280.0,221.66666666666663,
37148,306.0,119.66666666666669,
11910,369.0,250.33333333333331,
75438,401.0,106.0,no
99733,305.0,124.0,yes
27407,309.0,246.0,no
14250,401.0,182.66666666666663,no
43794,309.0,243.66666666666663,no
73918,403.6666666666667,122.33333333333331,
60216,302.0,124.0,no
28681,380.6666666666667,241.33333333333331,
51437,503.0,135.0,no
21932,302.0,120.66666666666669,no
29733,278.6666666666667,126.33333333333331,
98206,305.0,124.0,yes
36385,131.0,512.0,yes
26651,275.0,374.0,
54030,404.0,215.66666666666663,no
67993,131.0,124.0,no
96543,304.0,123.0,yes
49800,507.0,214.0,no
29296,219.66666666666663,124.0,
11002,503.0,112.0,no
72850,307.0,128.0,no
15134,309.0,121.66666666666669,no
69124,346.6666666666667,124.0,
42531,109.0,110.0,no
34062,507.0,214.0,no
18111,401.0,135.0,no
42646,507.0,137.0,no
63922,182.33333333333331,215.33333333333331,
59097,403.0,402.0,no
72912,187.66666666666663,216.33333333333331,
91484,117.0,124.0,no
24833,511.0,507.0,no
21971,308.6666666666667,115.0,
58654,220.66666666666663,115.0,
13928,401.6666666666667,214.33333333333331,
84502,128.0,109.0,no
64090,372.0,123.66666666666669,
52123,406.0,102.0,no
78783,200.0,124.0,no
25197,501.0,213.0,no
35872,510.0,250.33333333333331,no
93462,270.3333333333333,130.33333333333334,
23270,512.0,302.0,no
69807,179.33333333333334,217.33333333333331,
92716,302.0,132.33333333333334,no
66061,307.0,122.33333333333331,
56058,367.3333333333333,336.6666666666667,
57854,314.3333333333333,244.0,
68679,268.6666666666667,336.6666666666667,
90750,137.0,115.0,
70125,108.0,124.0,no
67192,507.0,124.66666666666669,no
12029,338.3333333333333,215.33333333333331,no
70745,109.0,112.0,no
43255,346.0,338.0,
93856,309.0,132.33333333333334,no
10237,111.0,116.0,no
97448,134.0,135.0,no
43603,273.3333333333333,116.0,
86974,474.0,114.33333333333331,
89165,511.0,135.0,no
97280,128.0,122.66666666666669,no
54098,346.0,123.66666666666669,
66156,305.0,246.0,no
67177,401.0,216.33333333333331,no
22540,508.0,508.0,no
70668,253.0,114.33333333333331,
15586,279.6666666666667,340.6666666666667,
27232,337.3333333333333,251.33333333333331,
18611,369.6666666666667,254.66666666666663,
87328,109.0,111.0,no
88963,272.6666666666667,115.0,
61756,248.33333333333331,118.33333333333331,
57045,255.0,305.3333333333333,
49497,406.0,108.0,yes
15031,404.3333333333333,126.66666666666669,
79607,278.6666666666667,340.3333333333333,
41952,506.0,124.66666666666669,no
17183,404.0,214.0,no
22408,511.0,135.0,no
54435,131.0,124.0,no
38554,403.0,131.0,no
38293,305.0,273.3333333333333,yes
33785,304.0,123.0,no
44310,406.3333333333333,212.0,
33009,130.0,124.0,yes
31294,371.6666666666667,404.0,
65143,183.33333333333331,109.33333333333331,
91726,306.0,114.66666666666669,no
59355,305.0,118.33333333333331,no
96184,200.0,124.0,no
92339,346.3333333333333,121.66666666666669,
70005,304.0,124.0,no
64157,102.0,124.0,no
68050,130.0,116.0,no
46151,243.66666666666663,118.33333333333331,
79395,403.0,124.0,no
59863,403.0,108.0,no
63419,507.0,124.0,no
22913,303.0,222.0,no
91313,117.0,506.0,no
14511,130.0,126.33333333333331,no
73962,305.0,124.0,no
48969,116.0,110.0,no
22093,373.0,116.66666666666669,
